,id,name,artist,playlist id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
52,36hbmJpANuJPxmA8yLRkkA,Through My Eyes,Anthony Lazaro,søndag,0.756,0.452,7,-15.793,1,0.0706,0.363,0.377,0.113,0.401,98.007,audio_features,spotify:track:36hbmJpANuJPxmA8yLRkkA,https://api.spotify.com/v1/tracks/36hbmJpANuJPxmA8yLRkkA,https://api.spotify.com/v1/audio-analysis/36hbmJpANuJPxmA8yLRkkA,200426,4
53,5Fxqn2kr6NBio3EDfaMi45,circle the drain,Soccer Mommy,søndag,0.482,0.79,9,-5.221,1,0.038,0.303,0.00028,0.1,0.47,169.064,audio_features,spotify:track:5Fxqn2kr6NBio3EDfaMi45,https://api.spotify.com/v1/tracks/5Fxqn2kr6NBio3EDfaMi45,https://api.spotify.com/v1/audio-analysis/5Fxqn2kr6NBio3EDfaMi45,280213,4
54,7w0lCrXGoUj5b8DgW5wZlx,Petrol Bliss,Choker,søndag,0.778,0.291,0,-10.355,1,0.106,0.84,8.23e-05,0.66,0.353,142.015,audio_features,spotify:track:7w0lCrXGoUj5b8DgW5wZlx,https://api.spotify.com/v1/tracks/7w0lCrXGoUj5b8DgW5wZlx,https://api.spotify.com/v1/audio-analysis/7w0lCrXGoUj5b8DgW5wZlx,189296,4
55,23c9gmiiv7RCu7twft0Mym,Who Hurt You?,Daniel Caesar,søndag,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,audio_features,spotify:track:23c9gmiiv7RCu7twft0Mym,https://api.spotify.com/v1/tracks/23c9gmiiv7RCu7twft0Mym,https://api.spotify.com/v1/audio-analysis/23c9gmiiv7RCu7twft0Mym,231964,4
56,7yTJoV0A2NcwZLGPs8vl6p,YOU WERENT ENOUGH,Roy Blair,søndag,0.603,0.523,1,-8.028,1,0.0517,0.609,0.00474,0.112,0.264,80.017,audio_features,spotify:track:7yTJoV0A2NcwZLGPs8vl6p,https://api.spotify.com/v1/tracks/7yTJoV0A2NcwZLGPs8vl6p,https://api.spotify.com/v1/audio-analysis/7yTJoV0A2NcwZLGPs8vl6p,251039,4
57,3InReBbiSTRMiY9cZCFaKK,Wicked City,Bobby Raps,søndag,0.296,0.283,0,-12.016,1,0.0722,0.26,0.0743,0.23,0.114,144.245,audio_features,spotify:track:3InReBbiSTRMiY9cZCFaKK,https://api.spotify.com/v1/tracks/3InReBbiSTRMiY9cZCFaKK,https://api.spotify.com/v1/audio-analysis/3InReBbiSTRMiY9cZCFaKK,242193,4
58,5BBLZEFIhoIjyW7IE5aJ29,Emily,Tourist,søndag,0.541,0.673,1,-9.246,1,0.042,0.0551,0.148,0.123,0.219,108.98,audio_features,spotify:track:5BBLZEFIhoIjyW7IE5aJ29,https://api.spotify.com/v1/tracks/5BBLZEFIhoIjyW7IE5aJ29,https://api.spotify.com/v1/audio-analysis/5BBLZEFIhoIjyW7IE5aJ29,231804,4
59,5CTzapBNGovLrqPas4cy7J,42.26,Childish Gambino,søndag,0.576,0.486,7,-9.727,1,0.154,0.456,0.134,0.0676,0.178,165.816,audio_features,spotify:track:5CTzapBNGovLrqPas4cy7J,https://api.spotify.com/v1/tracks/5CTzapBNGovLrqPas4cy7J,https://api.spotify.com/v1/audio-analysis/5CTzapBNGovLrqPas4cy7J,321387,4
60,5FVdng1BLqLy5Q1u71LuY6,Recto Verso - Mall Grab Remix,Paradis,søndag,0.8,0.424,8,-14.698,0,0.0651,0.0966,0.652,0.046,0.391,121.001,audio_features,spotify:track:5FVdng1BLqLy5Q1u71LuY6,https://api.spotify.com/v1/tracks/5FVdng1BLqLy5Q1u71LuY6,https://api.spotify.com/v1/audio-analysis/5FVdng1BLqLy5Q1u71LuY6,354693,4
61,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,The Weeknd,søndag,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,audio_features,spotify:track:6b5P51m8xx2XA6U7sdNZ5E,https://api.spotify.com/v1/tracks/6b5P51m8xx2XA6U7sdNZ5E,https://api.spotify.com/v1/audio-analysis/6b5P51m8xx2XA6U7sdNZ5E,250053,4
62,6C2uOLWzZBartRYxRIZGlj,Hour Glass,Evan Miles,søndag,0.566,0.329,6,-17.761,0,0.0347,0.814,0.554,0.0921,0.0378,118.005,audio_features,spotify:track:6C2uOLWzZBartRYxRIZGlj,https://api.spotify.com/v1/tracks/6C2uOLWzZBartRYxRIZGlj,https://api.spotify.com/v1/audio-analysis/6C2uOLWzZBartRYxRIZGlj,217627,4
63,5X8FVIy9iaXoDEiIlCjcmp,Teenage Headache Dreams (with Ellie Rowsell),Mura Masa,søndag,0.347,0.411,6,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,audio_features,spotify:track:5X8FVIy9iaXoDEiIlCjcmp,https://api.spotify.com/v1/tracks/5X8FVIy9iaXoDEiIlCjcmp,https://api.spotify.com/v1/audio-analysis/5X8FVIy9iaXoDEiIlCjcmp,283013,4
64,4vcoNCrTtunmJ9q8srpVly,Season 2 Episode 3,Glass Animals,søndag,0.742,0.289,5,-7.833,0,0.115,0.543,4.57e-05,0.228,0.71,147.986,audio_features,spotify:track:4vcoNCrTtunmJ9q8srpVly,https://api.spotify.com/v1/tracks/4vcoNCrTtunmJ9q8srpVly,https://api.spotify.com/v1/audio-analysis/4vcoNCrTtunmJ9q8srpVly,243509,4
65,5f2JNWZKJMZEgkRJc9MCTv,take you home,slenderbodies,søndag,0.776,0.537,5,-5.891,0,0.0471,0.184,4.71e-05,0.0921,0.792,97.971,audio_features,spotify:track:5f2JNWZKJMZEgkRJc9MCTv,https://api.spotify.com/v1/tracks/5f2JNWZKJMZEgkRJc9MCTv,https://api.spotify.com/v1/audio-analysis/5f2JNWZKJMZEgkRJc9MCTv,230187,4
66,3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,The Weeknd,søndag,0.55,0.611,0,-7.475,1,0.137,0.162,6.88e-05,0.121,0.243,148.062,audio_features,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,https://api.spotify.com/v1/tracks/3WlbeuhfRSqU7ylK2Ui5U7,https://api.spotify.com/v1/audio-analysis/3WlbeuhfRSqU7ylK2Ui5U7,247187,4
